id,title,description,release_year,runtime,genres,production_countries,my_rating,description_join
tm16479,White Christmas,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,1954,115,"['romance', 'comedy']",['US'],7.447850342327122,two talented songanddance men team war become one hottest act show business time befriend become romantically involved beautiful haynes sister comprise sister act
tm135083,Cairo Station,"Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",1958,77,"['drama', 'crime', 'comedy']",['EG'],7.389268450284331,qinawi physically challenged peddler make living selling newspaper central cairo train station obsessed hanuma attractive young woman sell drink joke possible relationship actually love abu siri strong respected porter station struggling unionize fellow worker combat bos exploitative abusive treatment
tm89386,Hitler: A Career,"A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.",1977,150,"['history', 'documentation', 'european']",['DE'],7.372819163696414,keen chronicle unlikely rise power adolf hitler 18891945 dissection third reich 19331945 also analysis mass psychology desperate crowd deceived shepherded slaughterhouse
tm156453,FTA,"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.",1972,97,"['war', 'documentation', 'music', 'comedy']",['US'],6.125233653583414,documentary political troupe headed actor jane fonda donald sutherland traveled town near military base early 1970s group put show called fta stood army aimed convincing soldier voice opposition vietnam war raging time various singer actor entertainer performed antiwar song skit show
tm14350,Alexandria… Why?,"Set against the panoramic backdrop of war-torn Egypt, director Youssef Chahine tells a highly personal tale of love and determination. Amid the poverty, death and suffering caused by World War II, 18 year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.",1979,133,['drama'],['EG'],6.677816909073629,set panoramic backdrop wartorn egypt director youssef chahine tell highly personal tale love determination amid poverty death suffering caused world war yearold yehia retreat private world fantasy longing obsessed hollywood dream one day studying filmmaking america falling love discovering lie european occupation yehia profoundly reevaluates identity allegiance
tm81728,The Land,"Set in 1933, the mayor informs the peasants that the share of irrigation of their land will be split equally between them and feudal lord Mahmoud Bey. The peasants send Muhammad Effendi to submit a petition to the government. Then Mahmoud Bey proposes a project that would require taking part of the peasants' lands.",1969,129,['drama'],['EG'],8.25385014356872,set 1933 mayor informs peasant share irrigation land split equally feudal lord mahmoud bey peasant send muhammad effendi submit petition government mahmoud bey proposes project would require taking part peasant land
tm94651,Dostana,"Two close friends decide to enter law enforcement, one as a police officer, the other as a lawyer, but their friendship begins to unravel when they both fall in love with the same woman.",1980,161,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],4.88592907640996,two close friend decide enter law enforcement one police officer lawyer friendship begin unravel fall love woman
tm27298,Saladin the Victorious,"Saladin, the first sultan of Egypt and Syria, leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.",1963,186,"['action', 'drama', 'war', 'history', 'romance']",['EG'],7.288467433148486,saladin first sultan egypt syria lead muslim military campaign invading christian europe third crusade
tm100027,Alibaba Aur 40 Chor,"The movie is based on the story of Ali Baba and the Forty Thieves, from the One Thousand and One Nights or Arabian Tales. The role of Ali Baba is played by Dharmendra and Hema Malini play Morjina.",1979,146,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",6.691940460376833,movie based story ali baba forty thief one thousand one night arabian tale role ali baba played dharmendra hema malini play morjina
tm19608,The Blazing Sun,"A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.",1954,100,"['crime', 'romance', 'drama']",['EG'],7.144444065661435,rich landlord flood destroys village purpose prevent people living making profit crop know daughter love ahmed young man village
tm204541,Dark Waters,"Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.",1956,120,"['action', 'drama', 'romance', 'thriller']",['EG'],6.244245268765686,ragab poor sailor return home alexandria three year absence tried save money marry one true love hamedah trouble harbor old friend
tm259855,We Are All for the Fatherland,"After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",1979,74,['documentation'],"['LB', 'CA', 'FR']",5.26387742540895,1978 israeli invasion lebanon child try sing national anthem citizen search hope wartorn south
tm356209,Singapore,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",1960,158,"['drama', 'thriller', 'crime']",['IN'],6.3096052482132965,employee disappears singapore shyam travel india investigate absence becomes entangled deadly plot
tm200475,"Beirut, Oh Beirut","In the aftermath of the 1967 defeat, four young Lebanese try to figure out their places in a society whose rules seem to have changed. It proved to be an extraordinary anticipation of the civil war that would engulf the country while the film was being edited.",1975,110,['drama'],['LB'],7.1238123831225835,aftermath 1967 defeat four young lebanese try figure place society whose rule seem changed proved extraordinary anticipation civil war would engulf country film edited
tm90896,The Return of the Prodigal Son,"In this Andre Gide adaptation, an activist is released after many years in prison and returns home, shaking up established relationships among his family members at the farm governed by his strict father. Demonstrating Chahine’s eclecticism, this is an elegant melodrama, exuberant musical, layered allegory, and profound portrait of personal and political disillusionment.",1976,124,"['music', 'drama', 'crime']","['DZ', 'EG']",5.867666245988675,andre gide adaptation activist released many year prison return home shaking established relationship among family member farm governed strict father demonstrating chahine eclecticism elegant melodrama exuberant musical layered allegory profound portrait personal political disillusionment
tm336403,Khoon Khoon,"As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of Dirty Harry.",1973,131,"['crime', 'thriller']",['IN'],3.824052363646646,crazed killer blaze trail blood anxious city hardened cop aim take mean remake dirty harry
tm107372,Manoranjan,"Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.",1974,162,"['romance', 'drama', 'comedy']",['IN'],5.461667538018186,havaldar ratan rookie local police station assigned duty foot patrol manoranjan street notorious redlight area first day job strike conversation goodlooking young woman named nisha tell possible violation suppression immoral trafficking act taking place street witness several woman soliciting men decides call paddy wagon get arrested ala one men frequenting prostitute none ratan superior officer immediately summons ratan removed service corruption charge nisha take pity homeless unemployed ratan asks live want sell body decides work night day take guise rich nawab spends time
tm358653,Ujala,"An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",1959,142,"['romance', 'crime', 'drama']",['IN'],6.050642032091611,honest man dream better life family childhood friend lead world crime keep happiness reach
tm259684,Whispers,"At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.",1980,93,['documentation'],"['CA', 'FR', 'LB']",5.32821719579063,every station site filled poetry nostalgia bygone era poet dashed dream idealized vision country coincide director
tm403346,Chadi Jawani Budhe Nu,"A small-time businessman (B.S. Sood) reaches the ""naughty forties"". Now his wife is not good enough anymore, so he decides he needs a modern up to date mistress, resulting in hilarious situations.",1976,135,['romance'],['IN'],5.978235949041687,smalltime businessman sood reach naughty forty wife good enough anymore decides need modern date mistress resulting hilarious situation
tm16812,Bandie,"Maharaj Brajbhan lives a wealthy lifestyle in Bharatpur, India along with his wife, Badi Rani, but have been unable to conceive for Bharatpur, and have no choice but to leave it's reigns with Brajban's widowed cousin, Vikram, and his son, Kanchan. When Vikram finds out that Badi Rani is pregnant, he plots to first sully her character by having her abducted, then shunned by the Maharaj, and then decides to have her killed. But her killer has a change of heart and lets her live. She gives birth to a son, names him Bhola, and starts living a simple lifestyle in a Mandir with the help of it's Poojary. Years later Vikram finds out she is alive and kills her, as well the Poojary and the Poojary's son. Bhola witnesses this, manages to escape, starts to live with a poor widow, grows up uneducated, and makes a living through crime.",1978,141,"['drama', 'action', 'romance']",['IN'],5.958289718613097,maharaj brajbhan life wealthy lifestyle bharatpur india along wife badi rani unable conceive bharatpur choice leave reign brajban widowed cousin vikram son kanchan vikram find badi rani pregnant plot first sully character abducted shunned maharaj decides killed killer change heart let live give birth son name bhola start living simple lifestyle mandir help poojary year later vikram find alive kill well poojary poojary son bhola witness manages escape start live poor widow grows uneducated make living crime
tm155787,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",1990,145,"['drama', 'crime']",['US'],8.689822182099919,true story henry hill halfirish halfsicilian brooklyn kid adopted neighbourhood gangster early age climb rank mafia family guidance jimmy conway
tm22327,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1987,117,"['war', 'drama']","['US', 'GB']",8.29129783755481,pragmatic marine observes dehumanizing effect usvietnam war fellow recruit brutal boot camp training bloody street fighting hue
tm180542,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",1984,139,"['crime', 'drama', 'european']","['US', 'IT']",8.31189351028849,former prohibitionera jewish gangster return lower east side manhattan thirty year later must confront ghost regret old life
tm138875,When Harry Met Sally...,"During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.",1989,96,"['comedy', 'romance', 'drama']",['US'],7.68029092493456,travel chicago new york harry sally debate whether sex ruin friendship man woman eleven year later still closer finding answer
tm2386,A Nightmare on Elm Street,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",1984,91,['horror'],"['GB', 'US']",7.382767502468909,teenager small town dropping like fly apparently grip mass hysteria causing suicide cop daughter nancy thompson trace cause child molester fred krueger burned alive angry parent many year krueger come back dream killer child claiming life revenge nancy boyfriend glen must devise plan lure monster realm nightmare real world
tm133087,Steel Magnolias,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold.",1989,119,"['comedy', 'drama', 'romance']",['US'],7.282395697566888,young beautician newly arrived small louisiana town find work local salon small group woman share close bond friendship welcome fold
tm177480,Police Academy,"New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!",1984,97,"['crime', 'comedy']",['US'],6.682929647885454,new rule enforced lady mayoress mean sex weight height intelligence need longer factor joining police force open floodgate sundry enter police academy much chagrin instructor everyone choice though social misfit mahoney forced sign alternative jail sentence take long fall foul boorish lieutenant harris long mahoney realises enjoying police cadet decides want stay harris decides want mahoney
tm54450,Christine,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.",1983,110,"['horror', 'thriller', 'european']",['US'],6.722344592406468,geeky student arnie cunningham fall christine rusty 1958 plymouth fury becomes obsessed restoring classic automobile former glory car change arnie whose newfound confidence turn arrogance behind wheel exotic beauty arnie girlfriend leigh best friend dennis reach met fury like
tm145608,Awakenings,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",1990,120,"['drama', 'european']",['US'],7.800000000000001,malcolm sayer shy research physician us experimental drug awaken catatonic victim rare disease leonard first patient receive controversial treatment awakening filled awe enthusiasm prof rebirth sayer exuberant patient reveals life simple unutterably sweet pleasure introverted doctor
tm147710,National Lampoon's Christmas Vacation,"It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.",1989,97,"['comedy', 'european']",['US'],7.472196045037906,christmastime griswolds preparing family seasonal celebration thing never run smoothly clark wife ellen two kid clark continual bad luck worsened obnoxious family guest manages keep going knowing christmas bonus due soon
tm142895,Lean On Me,"When principal Joe Clark takes over decaying Eastside High School, he's faced with students wearing gang colors and graffiti-covered walls. Determined to do anything he must to turn the school around, he expels suspected drug dealers, padlocks doors and demands effort and results from students, staff and parents. Autocratic to a fault, this real-life educator put it all on the line.",1989,105,['drama'],['US'],7.351377305967209,principal joe clark take decaying eastside high school faced student wearing gang color graffiticovered wall determined anything must turn school around expels suspected drug dealer padlock door demand effort result student staff parent autocratic fault reallife educator put line
tm20712,Eddie Murphy Raw,"Eddie Murphy delights, shocks and entertains with dead-on celebrity impersonations, observations on '80s love, sex and marriage, a remembrance of Mom's hamburgers and much more.",1987,90,"['comedy', 'documentation']",['US'],7.513461730701636,eddie murphy delight shock entertains deadon celebrity impersonation observation 80 love sex marriage remembrance mom hamburger much
tm117580,She's Gotta Have It,"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.",1986,84,"['romance', 'comedy']",['US'],6.702374454239043,story nola darling simultaneous sexual relationship three different men told partner friend three men wanted commit solely nola resists owned single partner
tm130586,Endless Love,"Two young kids fall in love with each other. But the passion is too consuming for the parents of Jade. The parents try to stop them from seeing each other. But when this doesn't work, David burns down the house and is sent away. This doesn't stop him from seeing her. When he gets out he goes to look for her. But the passion for his first love is too strong and she has to leave.",1981,116,"['romance', 'drama']",['US'],5.454403129580876,two young kid fall love passion consuming parent jade parent try stop seeing work david burn house sent away stop seeing get go look passion first love strong leave
tm721687,Vaashi,"Ebin Mathew, a budding lawyer ambitiously joins hands with his advocate friend Madhavi Mohan, to share a new office space in order for them to start their independent careers. Their relationship gets strained when they land on opposite ends of a case.",1983,123,"['drama', 'thriller']",['IN'],6.7,ebin mathew budding lawyer ambitiously join hand advocate friend madhavi mohan share new office space order start independent career relationship get strained land opposite end case
tm40103,Mobile Suit Gundam: Char's Counterattack,In UC 0093 the Federation has recovered from its defeat and has created a new anti-colonial special forces unit to deal with rebel forces: Londo Bell. Elsewhere in space Char Aznable re-appears out of self imposed hiding with a declaration that he now commands his own Neo-Zeon movementand intends to force the emigration of Earth's inhabitants to space by bringing about an apocalypse.,1988,119,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],6.803384573864649,0093 federation recovered defeat created new anticolonial special force unit deal rebel force londo bell elsewhere space char aznable reappears self imposed hiding declaration command neozeon movementand intends force emigration earth inhabitant space bringing apocalypse
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,"After managing to survive attacks by Zeon's Char Aznable and Garma Zabi, the crew of Federation warship White Base and its mobile suits must battle Zeon forces through Asia, Europe, and the Atlantic Ocean if they are to reach Earth Federation's headquarters alive. During that process many of its crewmembers must overcome their fears, losses, immaturities, and insecurities in order to survive.",1981,133,"['animation', 'scifi', 'action', 'drama', 'war']",['JP'],7.2,managing survive attack zeon char aznable garma zabi crew federation warship white base mobile suit must battle zeon force asia europe atlantic ocean reach earth federation headquarters alive process many crewmembers must overcome fear loss immaturity insecurity order survive
tm21953,Sam Kinison: Breaking the Rules,"This is a great performance. Through yelling and energetic story-telling, he talks about marriage, drugs, being arrested (thanks to his ex-wife), pleasing women, religion, and much, much more.",1987,50,"['comedy', 'documentation']",['US'],7.2,great performance yelling energetic storytelling talk marriage drug arrested thanks exwife pleasing woman religion much much
tm126769,Waiting for the Hearse,"Mama Cora, who is almost eighty years old, has three sons and a daughter. She lives with one of them, who has serious financial problems. The family meets one day to celebrate an anniversary meal, and that is when the problem arises: which of them will take care of her?",1985,87,['comedy'],['AR'],8.055028592758026,mama cora almost eighty year old three son daughter life one serious financial problem family meet one day celebrate anniversary meal problem arises take care
tm152839,Tim Allen: Men Are Pigs,"Comedian Tim Allen shares his enthusiasm for power tools, automobiles, grunting, and the myriad obsessions of the American male in this special for the Showtime premium cable network, which was aired a few years before he rose to stardom with the television sitcom Home Improvement.",1990,30,"['comedy', 'documentation']",['US'],6.27467457709911,comedian tim allen share enthusiasm power tool automobile grunting myriad obsession american male special showtime premium cable network aired year rose stardom television sitcom home improvement
tm49037,Mobile Suit Gundam III: Encounters in Space,"Amuro Ray and the rest of the White Base crew, now denominated the 13th Autonomous Corps, return to outer space to support the rest of the Earth Federation forces for the decisive battle against the Duchy of Zeon's forces.",1982,144,"['action', 'drama', 'war', 'animation', 'scifi']",['JP'],7.508774177093736,amuro ray rest white base crew denominated 13th autonomous corp return outer space support rest earth federation force decisive battle duchy zeon force
tm62924,Monty Python Live at the Hollywood Bowl,"Monty Python perform many of their greatest sketches at the Hollywood Bowl, including several from pre-Python days.",1982,81,"['comedy', 'documentation']",['GB'],7.745031104951334,monty python perform many greatest sketch hollywood bowl including several prepython day
tm52815,Disco Dancer,"Anil, a street singer, is humiliated and driven out of Bombay along with his mother. However, he soon becomes a famous performer but the enemies from his past try to destroy his hard-earned career.",1982,106,"['drama', 'romance']",['IN'],5.472790177532572,anil street singer humiliated driven bombay along mother however soon becomes famous performer enemy past try destroy hardearned career
tm159912,Agneepath,"The movie depicts the life of a young boy, Vijay (Amitabh Bachchan), whose father gets brutally lynched by a mobster Kancha Cheena. It's a journey of his quest for revenge, which leads him to become a gangster as an adult. Watch out for Amitabh Bachchan in one of the most powerful roles of his career. Will Vijay lose his family in the process of satisfying his vengeance?",1990,174,"['drama', 'action', 'crime']",['IN'],7.2575300153343925,movie depicts life young boy vijay amitabh bachchan whose father get brutally lynched mobster kancha cheena journey quest revenge lead become gangster adult watch amitabh bachchan one powerful role career vijay lose family process satisfying vengeance
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,"Steve Martin presents selected sketches from ""Monty Python's Flying Circus (1969)"". It's the well known sketches, though the parrot sketch is not included. Steve Martin has some funny comments on the Pythons.",1989,72,['comedy'],['GB'],7.455262986886487,steve martin present selected sketch monty python flying circus 1969 well known sketch though parrot sketch included steve martin funny comment python
tm38736,Too Young The Hero,"TV movie based upon the true story of Calvin Graham, who, as a 12 year old boy, enlisted in the US Navy during WWII.",1988,100,"['drama', 'war']",['US'],6.328116933990058,movie based upon true story calvin graham year old boy enlisted navy wwii
tm51083,A Stoning in Fulham County,Religious beliefs clash with the law when an Amish infant is killed in a rural community.,1988,120,"['thriller', 'crime', 'drama']",['US'],5.828392893169775,religious belief clash law amish infant killed rural community
tm137013,The Ryan White Story,"The story of Ryan White, a 13-year-old haemophiliac who contracted AIDS from factor VIII, which was used to control this disorder.",1989,102,['drama'],['US'],6.298208043002383,story ryan white 13yearold haemophiliac contracted aid factor viii used control disorder
tm157603,Dil,"Raja lives a poor lifestyle along with his dad, Hazariprasad and mom. He attends college where he has several run-ins with wealthy fellow-collegian, Madhu Mehra. Matters escalate to such an extent that she accuses him of sexually molesting her. When his dad comes to know, he decides to seize this chance to get rich quickly, masquerades as a wealthy businessman, approaches Mr. Mehra, and arranges for their children to get married. Murphy's law prevails at the time of the engagement - changing everyone's lives forever.",1990,172,"['drama', 'comedy', 'romance']",['IN'],6.55721244682862,raja life poor lifestyle along dad hazariprasad mom attends college several runins wealthy fellowcollegian madhu mehra matter escalate extent accuses sexually molesting dad come know decides seize chance get rich quickly masquerade wealthy businessman approach mehra arranges child get married murphy law prevails time engagement changing everyone life forever
tm258072,Adam: His Song Continues,"Follows the true story of John and Reve Walsh who, after their child was murdered, fought to raise national awareness of the problem of missing children.",1986,100,"['crime', 'drama']",['US'],6.999999999999999,follows true story john reve walsh child murdered fought raise national awareness problem missing child
tm114356,The George McKenna Story,"Washington plays a school principal in a tough inner city Los Angeles high school out to rid it of drugs, gangs, low moral of teachers, and restore educational values.",1988,100,['drama'],['US'],6.071166422407878,washington play school principal tough inner city los angeles high school rid drug gang low moral teacher restore educational value
tm157853,In Defense of a Married Man,"When a defense lawyer's adulterous husband becomes the prime suspect in the murder of the woman he was cheating with, his wife chooses to defend him. Can she overcome his betrayal while searching for the truth?",1990,94,"['drama', 'crime']",['US'],4.954131264234458,defense lawyer adulterous husband becomes prime suspect murder woman cheating wife chooses defend overcome betrayal searching truth
tm132164,Bill Hicks: Sane Man,"Sane Man was filmed before Bill recorded ‘Dangerous’, his first comedy album, and is a turning point in Hicks’ career. It was the first complete Hicks show ever filmed and Bill pulled out all the stops for the cameras. Completely focused, a newly-sober Hicks paces the stage like a wild animal riffing effortless.",1989,80,['comedy'],['US'],7.500000000000001,sane man filmed bill recorded dangerous first comedy album turning point hick career first complete hick show ever filmed bill pulled stop camera completely focused newlysober hick pace stage like wild animal riffing effortless
tm446654,Mujrim,"The film follows the story of Shankar, who is regarded as a criminal by the society after being in jail for ten years since childhood.",1989,162,"['drama', 'action', 'crime']",['IN'],5.92648551170863,film follows story shankar regarded criminal society jail ten year since childhood
tm348735,Aakhri Adaalat,Inspector Amar Kaushal attempts to incarcerate wrong-doers in his society only lead to frustration when they are let off by the incompetence of the law and his superiors and seniors. Eventually Amar stands accused of killing several criminals and innocents which prompts him to take law into his own hands.,1988,148,"['action', 'crime', 'thriller']",['IN'],5.006136932000331,inspector amar kaushal attempt incarcerate wrongdoer society lead frustration let incompetence law superior senior eventually amar stand accused killing several criminal innocent prompt take law hand
